1,6.1
2,6
3,5.9
4,5.8
5,5.8
6,5.7
7,5.7
8,5.7
9,5.6
10,5.6
11,5.6
12,5.5
13,5.5
14,5.5
15,5.5
16,5.4
17,5.4
18,5.4
19,5.4
20,5.4
21,5.3
22,5.3
23,5.3
24,5.3
25,5.3
26,5.3
27,5.2
28,5.2
29,5.2
30,5.2
31,5.2
32,5.2
33,5.2
34,5.1
35,5.1
36,5.1
37,5.1
38,5.1
39,5.1
40,5.1
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,4.9
49,4.9
50,4.9
51,4.9
52,4.9
53,4.9
54,4.9
55,4.8
56,4.8
57,4.8
58,4.8
59,4.8
60,4.8
61,4.8
62,4.7
63,4.7
64,4.7
65,4.7
66,4.7
67,4.7
68,4.6
69,4.6
70,4.6
71,4.6
72,4.6
73,4.5
74,4.5
75,4.5
76,4.5
77,4.4
78,4.4
79,4.4
80,4.3
81,4.3
82,4.3
83,4.2
84,4.2
85,4.1
86,4
87,3.9
88,5.4
89,5.3
90,5.2
91,5.1
92,5
93,4.9
94,4.8
95,4.7
96,4.6
