x,y,z
-9.0,0.0,10.975374615548041
-9.0,1.0,10.5457630650431
-9.0,2.0,10.592325336455026
-9.0,3.0,10.124647884888706
-9.0,4.0,9.952494370234344
-9.0,5.0,11.185739477498405
-9.0,6.0,12.470288070312487
-9.0,7.0,12.919236887420187
-9.0,8.0,13.352460246385888
-9.0,9.0,13.663759665466
-9.0,10.0,13.566289163876172
-9.0,11.0,13.64362103825588
-9.0,12.0,13.569965326498542
-9.0,13.0,13.079061649691745
-9.0,14.0,13.277472438078957
-9.0,15.0,14.106907902921943
-8.0,-15.0,5.841160106928127
-8.0,-14.0,5.0906121509970905
-8.0,-13.0,6.080280876738106
-8.0,-12.0,5.869677090075154
-8.0,-11.0,7.292165324893084
-8.0,-10.0,9.582204259791608
-8.0,-9.0,9.510166434587543
-8.0,-8.0,9.021232031696124
-8.0,-7.0,10.151398956522346
-8.0,-6.0,11.026587274394043
-8.0,-5.0,11.311489663778854
-8.0,-4.0,11.924338532583892
-8.0,-3.0,11.818817636328887
-8.0,-2.0,11.184948173969048
-8.0,-1.0,11.54503208681819
-8.0,0.0,12.001986965727882
-8.0,1.0,11.384624062103914
-8.0,2.0,10.58512018237306
-8.0,3.0,10.143789281479759
-8.0,4.0,10.181014652063343
-8.0,5.0,11.354210081354159
-8.0,6.0,12.881963292428065
-8.0,7.0,13.22928829632348
-8.0,8.0,12.82918101397504
-8.0,9.0,12.768798461333423
-8.0,10.0,12.94987094924187
-8.0,11.0,13.094086680341114
-8.0,12.0,13.135172702295238
-8.0,13.0,13.05234357212046
-8.0,14.0,13.272835678767253
-8.0,15.0,13.770637967836745
-7.0,-15.0,8.11069307169193
-7.0,-14.0,7.004213436635033
-7.0,-13.0,8.351783212335842
-7.0,-12.0,8.35454090533894
-7.0,-11.0,9.121679341063052
-7.0,-10.0,10.87445062861823
-7.0,-9.0,10.738011445132646
-7.0,-8.0,10.054964753345924
-7.0,-7.0,10.855552725220571
-7.0,-6.0,11.483585833397129
-7.0,-5.0,11.713652893768698
-7.0,-4.0,12.6417706587097
-7.0,-3.0,12.815216909468628
-7.0,-2.0,12.155857964290572
-7.0,-1.0,12.876781161125352
-7.0,0.0,13.96694870942648
-7.0,1.0,13.240473992344988
-7.0,2.0,12.010254426341776
-7.0,3.0,11.665791023377494
-7.0,4.0,11.62311972550697
-7.0,5.0,12.190649804966592
-7.0,6.0,13.462940437882342
-7.0,7.0,13.859335811315981
-7.0,8.0,13.22801530530854
-7.0,9.0,13.09093902667475
-7.0,10.0,13.572266160494197
-7.0,11.0,13.875776012994887
-7.0,12.0,14.003152254858202
-7.0,13.0,14.148339465110489
-7.0,14.0,14.335986585707916
-7.0,15.0,14.501003344451975
-6.0,-15.0,9.33189513152371
-6.0,-14.0,8.192127267726224
-6.0,-13.0,10.01469539148083
-6.0,-12.0,10.1692760762252
-6.0,-11.0,10.095757130778274
-6.0,-10.0,11.098724251072802
-6.0,-9.0,10.97290475770961
-6.0,-8.0,10.250990421517473
-6.0,-7.0,10.967181323819904
-6.0,-6.0,11.968116260658723
-6.0,-5.0,12.294346693021007
-6.0,-4.0,12.865313657147158
-6.0,-3.0,13.207667694740678
-6.0,-2.0,12.887038158410155
-6.0,-1.0,13.240204866367021
-6.0,0.0,14.05696286840255
-6.0,1.0,13.824686985004329
-6.0,2.0,13.155970433602647
-6.0,3.0,13.02495928175861
-6.0,4.0,12.75410737776002
-6.0,5.0,12.47342095427948
-6.0,6.0,13.078196872255347
-6.0,7.0,13.7607148053328
-6.0,8.0,13.640617338115808
-6.0,9.0,13.692080801420541
-6.0,10.0,14.44927991205151
-6.0,11.0,14.888834661481841
-6.0,12.0,14.653199446629996
-6.0,13.0,14.523832667318509
-6.0,14.0,14.715662934817809
-6.0,15.0,14.72233826359814
-5.0,-15.0,9.104208040224167
-5.0,-14.0,8.341198319460966
-5.0,-13.0,10.264525143112948
-5.0,-12.0,10.184352429858134
-5.0,-11.0,9.965815624940046
-5.0,-10.0,11.062795482869877
-5.0,-9.0,11.119991969285545
-5.0,-8.0,10.337619616706858
-5.0,-7.0,10.761255918627402
-5.0,-6.0,11.634302462883435
-5.0,-5.0,11.997110282273345
-5.0,-4.0,12.547634478609494
-5.0,-3.0,12.95458585248554
-5.0,-2.0,12.76592218111728
-5.0,-1.0,13.036808429767298
-5.0,0.0,13.723083602758773
-5.0,1.0,13.649550234480218
-5.0,2.0,13.381912490375397
-5.0,3.0,13.708951426220176
-5.0,4.0,13.653352259907319
-5.0,5.0,13.055318302670972
-5.0,6.0,13.184869342907142
-5.0,7.0,13.81790093763906
-5.0,8.0,13.85720114637341
-5.0,9.0,13.817146411081849
-5.0,10.0,14.365687156859059
-5.0,11.0,14.737801707267108
-5.0,12.0,14.541239169727206
-5.0,13.0,14.402237767288142
-5.0,14.0,14.351343522757121
-5.0,15.0,14.003234357950044
-4.0,-15.0,10.441009928199598
-4.0,-14.0,10.171476832422663
-4.0,-13.0,12.076204303066145
-4.0,-12.0,12.123551110124044
-4.0,-11.0,11.799804278428319
-4.0,-10.0,12.343593752256817
-4.0,-9.0,12.294996410631029
-4.0,-8.0,11.856053755088823
-4.0,-7.0,11.817293888272214
-4.0,-6.0,11.712193261544762
-4.0,-5.0,12.13382424232618
-4.0,-4.0,13.395139950279438
-4.0,-3.0,13.870056115211653
-4.0,-2.0,13.6653231189358
-4.0,-1.0,14.431476021839494
-4.0,0.0,15.192657354230017
-4.0,1.0,14.634506158680638
-4.0,2.0,14.210558103267978
-4.0,3.0,14.691701547485058
-4.0,4.0,14.871401015661341
-4.0,5.0,14.671132415018906
-4.0,6.0,14.729760892354006
-4.0,7.0,14.655544991375642
