z,x,y
11,5,-1.6223279
11,6,-1.08462333
11,7,-1.25531649
11,8,-1.15693655
11,9,-0.64803788
11,10,-0.98849968
12,-10,-0.8062886
12,-9,-1.4587904
12,-8,-1.95964361
12,-7,-1.76602677
12,-6,-2.20651664
12,-5,-2.65830546
12,-4,-1.96418435
12,-3,-1.56160507
12,-2,-2.13677024
12,-1,-2.24060742
12,0,-1.81329498
12,1,-1.89668954
12,2,-2.36324651
12,3,-2.75517172
12,4,-2.71295183
12,5,-1.91890906
12,6,-1.21125111
12,7,-1.29381331
12,8,-1.17713165
12,9,-0.60627278
12,10,-0.92526009
13,-10,-0.9038072
13,-9,-2.27079425
13,-8,-2.65952134
13,-7,-1.87023536
13,-6,-1.89338903
13,-5,-2.2294773
13,-4,-1.67468564
13,-3,-1.35970512
13,-2,-1.78782804
13,-1,-1.87827125
13,0,-1.83656888
13,1,-2.47423803
13,2,-3.16313631
13,3,-3.08687623
13,4,-2.46979715
13,5,-1.92876903
13,6,-1.81435369
13,7,-1.84007333
13,8,-1.48767189
13,9,-1.01686566
13,10,-1.1366233
14,-10,-1.55222178
14,-9,-2.48673385
14,-8,-1.93700274
14,-7,-0.93301726
14,-6,-1.05080802
14,-5,-1.38791249
14,-4,-1.28000278
14,-3,-1.30084365
14,-2,-1.29904548
14,-1,-1.14561087
14,0,-1.42237063
14,1,-2.03901686
14,2,-2.39392147
14,3,-2.239725
14,4,-1.62519607
14,5,-1.1457382
14,6,-1.33232185
14,7,-1.68227217
14,8,-1.76985261
14,9,-1.84904521
14,10,-1.8636344
15,-10,-2.9846057
15,-9,-3.23185055
15,-8,-2.01935061
15,-7,-1.04697573
15,-6,-1.23441242
15,-5,-1.48355449
15,-4,-1.4943354
15,-3,-1.70154405
15,-2,-1.75421614
15,-1,-1.65332199
15,0,-1.79785495
15,1,-1.87320712
15,2,-1.74342295
15,3,-1.61933192
15,4,-1.2004944
15,5,-0.63540242
15,6,-0.65586589
15,7,-1.15288078
15,8,-1.67087473
15,9,-2.10362914
15,10,-2.12593172
16,-10,-3.29387026
16,-9,-3.44623303
16,-8,-2.47172833
16,-7,-1.60548923
16,-6,-1.66149071
16,-5,-1.84942884
16,-4,-1.93113179
16,-3,-2.25732845
16,-2,-2.28019942
16,-1,-1.921087
16,0,-1.9296948
16,1,-2.0310617
16,2,-1.67849524
16,3,-1.32139338
16,4,-1.13381243
16,5,-0.83753518
16,6,-0.70210151
16,7,-0.91116559
16,8,-1.20573272
16,9,-1.45007087
16,10,-1.52689309
17,-10,-2.34742368
17,-9,-2.82091212
17,-8,-2.13016796
17,-7,-1.15468544
17,-6,-1.28565105
17,-5,-1.68304275
17,-4,-1.91906069
17,-3,-2.34906223
17,-2,-1.9978366
17,-1,-1.08844778
17,0,-1.29422895
17,1,-1.7758857
17,2,-1.16963206
17,3,-0.77916022
17,4,-1.10396329
17,5,-0.84152671
17,6,-0.36061342
17,7,-0.61655832
17,8,-0.98936869
17,9,-1.09504195
17,10,-1.24347494
18,-10,-1.71760179
18,-9,-2.40052952
18,-8,-2.09544551
18,-7,-1.07837447
18,-6,-1.34622187
18,-5,-1.94599675
18,-4,-1.84700216
18,-3,-1.99408577
18,-2,-1.8155259
18,-1,-0.94513044
18,0,-0.95745491
18,1,-1.2810804
18,2,-0.56919266
18,3,-0.34059365
18,4,-0.85791296
18,5,-0.20370372
18,6,0.63877839
18,7,-0.06869121
18,8,-0.92929001
18,9,-0.99975577
18,10,-1.14296036
19,-10,-1.21423213
19,-9,-1.84677052
19,-8,-2.51348695
19,-7,-2.04717254
19,-6,-2.1736236
19,-5,-2.51054895
19,-4,-1.86871513
19,-3,-1.79357958
19,-2,-2.27381233
19,-1,-1.60100689
19,0,-0.8079134
19,1,-0.77292931
19,2,-0.28303132
19,3,0.20223094
19,4,0.06941664
19,5,0.65166144
19,6,1.35653357
19,7,0.60679674
19,8,-0.17221175
19,9,0.06773326
19,10,-0.07141505
20,-10,-0.76809924
20,-9,-1.42758487
20,-8,-2.66803313
20,-7,-2.64421081
20,-6,-2.56422468
20,-5,-2.53577709
20,-4,-1.9048139
20,-3,-2.19055474
20,-2,-2.98784342
20,-1,-2.09822108
20,0,-0.74311591
20,1,-0.44978396
20,2,0.22208592
20,3,1.1777747
20,4,1.07240917
20,5,1.04718794
20,6,1.56745797
20,7,1.22556614
20,8,0.69461606
20,9,0.99825856
20,10,0.78854904
