x,z
0.0,-1.0419569559054864
0.6,-1.4401954142807503
1.2,-1.2034815547134943
1.7999999999999998,-0.7233009715687345
2.4,-0.5050394019624308
3.0,-0.7862715162394471
3.5999999999999996,-1.3609891014134803
4.2,-1.750995040012182
4.8,-1.602245620014613
5.3999999999999995,-0.9857170770038894
6.0,-0.33462801411159426
6.6,-0.05553454072436101
7.199999999999999,-0.16208352045452437
7.8,-0.2861794815822067
8.4,-0.06945436300720811
9.0,0.4515804480277923
9.6,0.8712365172006268
10.2,0.8432991194259098
10.799999999999999,0.4681729883256609
11.4,0.20888757066435276
12.0,0.39389179241608274
12.6,0.8245649356734363
13.2,0.9293260317582469
13.799999999999999,0.3426651865893361
14.399999999999999,-0.6763383315055358
15.0,-1.4292112189336983
15.6,-1.3961327753522852
16.2,-0.675921881193152
16.8,0.1661841845972327
17.4,0.6447927578892884
18.0,0.7254748528379059
18.599999999999998,0.6937456652586248
19.2,0.747642516328345
19.8,0.7896081502321375
20.4,0.6048784999510216
21.0,0.16039785294628156
21.599999999999998,-0.33881011482413687
22.2,-0.670298870333247
22.8,-0.7973328963184287
23.4,-0.8191182095451058
24.0,-0.7750307818559785
24.599999999999998,-0.5904269279478629
25.2,-0.24525164788329806
25.8,0.07609153353454289
26.4,0.10774633233127898
27.0,-0.1885141671145195
27.599999999999998,-0.49595978987360984
28.2,-0.41154815719547566
28.799999999999997,0.12604143012915
29.4,0.7145824437697905
30.0,0.8478146208608074
