x,z
0.0,1.3131185594870838
1.0,1.630367589749574
2.0,-0.14326986930258334
3.0,-0.26941290521564404
4.0,0.4229191422888711
5.0,-0.7916033199701743
6.0,-1.820111757096707
7.0,-0.4733411489977707
8.0,0.9674464793394454
9.0,0.7585795939689715
10.0,0.6616123717924536
11.0,2.374902125365002
12.0,4.46571002080128
13.0,3.9828525622906974
14.0,1.7877663827987091
15.0,2.2854022579009112
16.0,4.969705891369719
17.0,4.936861129136964
18.0,3.2246306996576104
19.0,4.07058587682653
20.0,5.047662879029912
21.0,2.8975233112600858
22.0,0.7391289551733093
23.0,0.5648128146687844
24.0,0.26425064325812814
25.0,0.13281046689879034
26.0,1.1675660610042542
27.0,1.2927544508273818
28.0,0.0604181639511102
29.0,-0.5716037790141925
30.0,-0.7337033975481063
31.0,-0.9766248722828089
32.0,-0.4036645017704815
33.0,0.34718878126632896
34.0,-0.022215492510562998
35.0,-0.8459065272900139
36.0,-1.4768714213057916
37.0,-2.0263875848023223
38.0,-1.9877484102967882
39.0,-1.590770903129285
40.0,-1.676498655725304
41.0,-1.4919912011758503
42.0,-0.42477575855136784
43.0,0.27996866923829594
44.0,0.05091488319266932
45.0,-0.2717967490936841
46.0,-0.336108067106101
47.0,-0.31874687579062283
48.0,-0.6059640237471929
49.0,-1.559070408681871
50.0,-2.2649057543163464
