x,z
0.0,7.430023307097113
1.0,8.508389992865638
2.0,4.709192294852899
3.0,4.243142221499671
4.0,4.834242925177813
5.0,3.7071466102755104
6.0,3.2488486603845987
7.0,3.123803114519128
8.0,2.08681488009253
9.0,1.9614836566723828
10.0,2.65747604432666
11.0,2.544863312483914
12.0,2.59040986199428
13.0,3.0854031085273053
14.0,2.5725858245054067
15.0,1.7810557239839084
16.0,1.8741753163987311
17.0,1.7284330907553036
18.0,0.8730482013560259
19.0,0.5103341009838509
20.0,0.9760489720135199
21.0,1.4311239672790412
22.0,1.284465121934048
23.0,1.061972492661983
24.0,1.6002629872736227
25.0,2.079102270721916
26.0,1.3284236163121916
27.0,0.42593066564278204
28.0,0.357205530306667
29.0,0.07107156904377485
30.0,-0.613516890432248
31.0,-0.8885262145016569
32.0,-1.3341362461326676
33.0,-2.0652434653329768
34.0,-1.82678689418511
35.0,-0.8055335912325023
36.0,-0.11497871905488699
37.0,0.14424459917914273
38.0,-0.28283082145757515
39.0,-1.4493720924963027
40.0,-2.0294693481410757
41.0,-1.4933340317190775
42.0,-0.7457514792087884
43.0,-0.1535247734181657
44.0,0.014991320174547872
45.0,-0.5198793239097009
46.0,-0.6942650999579516
47.0,-0.11558195382869492
48.0,-0.28780258776196027
49.0,-1.1983899693841822
50.0,-1.1065427653960977
