x,z
0.0,2.917875993458768
1.0,2.44065819124115
2.0,1.3602674450033214
3.0,0.9809131821594819
4.0,1.017479602474233
5.0,0.5822098893044297
6.0,0.052629214083140446
7.0,0.7682118811102812
8.0,2.310310720133643
9.0,2.183548916837826
10.0,0.17602303688258322
11.0,-1.1062097119471328
12.0,-1.292410889029058
13.0,-1.6729638182781619
14.0,-1.2567521499278316
15.0,0.201223377583287
16.0,0.5043934871790938
17.0,0.039105182037817515
18.0,0.8122419662561737
19.0,1.5259646740545108
20.0,0.9350524535058304
21.0,0.58574155768596
22.0,0.386623991963858
23.0,-0.8827443053826826
24.0,-1.800053659838925
25.0,-1.4343213458336135
26.0,-1.2260160259094321
27.0,-1.4029795361181285
28.0,-1.4530180837325049
29.0,-1.925398642461685
30.0,-2.1771940273671326
31.0,-1.2561810823942445
32.0,-0.43367346822146213
33.0,-0.3057546197321259
34.0,0.40582084452510864
35.0,1.4083233859199185
36.0,1.5028891280886418
37.0,1.1288808262775412
38.0,0.8054700396405657
39.0,0.4626209422400585
40.0,0.4450389430697611
41.0,0.45725848570534144
42.0,0.07049897602003147
43.0,0.22753431823224074
44.0,1.0821904772360664
45.0,1.3982990053196653
46.0,1.5167699946280637
47.0,2.308636595448392
48.0,2.5603157265115097
49.0,1.4479029880637617
50.0,0.3176533891716984
