x,z
0.0,0.10488457500839699
1.0,0.14612995561852424
2.0,0.08191311930069752
3.0,0.13616279625441394
4.0,0.19435964016827062
5.0,0.16987357371611045
6.0,0.15487267850404185
7.0,0.16066265126404594
8.0,0.1547441701161224
9.0,0.1398402524046784
10.0,0.08199990198456164
11.0,0.019712306777228097
12.0,0.04893197354818427
13.0,0.09968326383114218
14.0,0.07027407165429342
15.0,0.03819582329516432
16.0,0.04713442850014024
17.0,0.02092989333850524
18.0,-0.0057813227149703765
19.0,0.04008969982611282
20.0,0.07158111105996835
21.0,0.02181310843085672
22.0,-0.021622244482793176
23.0,-0.020773988897449133
24.0,-0.0387755622683959
25.0,-0.06296655751944323
26.0,-0.0333805682393641
27.0,0.008037988870970878
28.0,-0.005861059972279964
29.0,-0.033580820286008096
30.0,-0.015493665878149591
31.0,0.0063013128871968905
32.0,-0.02496793627520536
33.0,-0.07408591390399545
34.0,-0.07902079413318086
35.0,-0.041909217184763696
36.0,-0.010076499576245082
37.0,-0.012629106239775654
38.0,-0.030149349063781677
39.0,-0.029423528715041315
40.0,-0.01860955506734467
41.0,-0.020238786846249548
42.0,-0.019396361299470026
43.0,-0.003502622307195085
44.0,0.0034010284741693856
45.0,-0.010276790192458172
46.0,-0.026526724964670057
47.0,-0.03315756806955243
48.0,-0.03187422028511254
49.0,-0.03154527147409918
50.0,-0.03638497739474421
