x,z
0.0,4.15208141928646
1.0,5.14427968659113
2.0,3.0150629090137113
3.0,2.4119221497223076
4.0,3.1396419011761805
5.0,3.111462716862368
6.0,2.7991811611566195
7.0,2.449979399477237
8.0,1.55404370272694
9.0,0.9319648834629906
10.0,1.1213307161578507
11.0,1.414600889097123
12.0,1.538902256420716
13.0,1.4833658817670645
14.0,0.9876046800570826
15.0,0.3415265730585239
16.0,-0.17922386038135726
17.0,-0.8006116949836795
18.0,-1.3337216670178458
19.0,-1.5186083415357805
20.0,-1.4837898581755387
21.0,-0.9332137547762563
22.0,0.11710497560318761
23.0,0.5663955158576834
24.0,0.12544980313040902
25.0,-0.25198493013830403
26.0,-0.4666769559124382
27.0,-1.0695480897594238
28.0,-1.7402937951267983
29.0,-1.934077652103135
30.0,-1.6966932849911267
31.0,-1.3375455965867247
32.0,-1.1379049314415972
33.0,-0.9331660230797767
34.0,-0.43319546425427813
35.0,-0.14998524822035667
36.0,-0.3698158596089857
37.0,-0.30231212926935147
38.0,0.09387501247384157
39.0,0.16828760739753462
40.0,0.6840017759154636
41.0,2.17568421485503
42.0,3.128011360470255
43.0,2.8294839108401852
44.0,2.2499489652642097
45.0,1.3715888557218803
46.0,0.2577512790405074
47.0,0.5377828922922371
48.0,2.0047149201209167
49.0,2.2499118081731457
50.0,1.200639412189986
