z,x,y
2,19,-5.7029499883947965
2,20,-5.148072144331267
2,21,-3.934554545123436
2,22,-2.7151167358339414
2,23,-2.0800891709009477
2,24,-2.1617226464665973
2,25,-2.2040736461507544
2,26,-1.524779549088205
2,27,-1.0416955590899784
2,28,-1.527203310464649
2,29,-1.9273893388517052
2,30,-1.6507902539179669
2,31,-1.4624537640502029
2,32,-1.3422590516132205
2,33,-0.9371824459691687
2,34,-0.9614928107517605
2,35,-1.6054507637384392
2,36,-2.0799730920957122
2,37,-2.3876881056220354
2,38,-2.804591133786484
2,39,-2.858861071810684
2,40,-2.651832090693183
2,41,-2.8236763015330677
2,42,-2.9486578601202473
2,43,-2.4461205448050585
2,44,-1.8699623661540141
2,45,-1.5208857624791048
2,46,-0.8507662959096969
2,47,0.12187629045728629
2,48,0.9824271229296428
2,49,1.914844810151489
2,50,2.798941598246595
3,0,-9.204137236464748
3,1,-11.492739953434354
3,2,-11.30985166388311
3,3,-10.847991491509472
3,4,-9.901056360814
3,5,-9.04961129016074
3,6,-8.92397477673807
3,7,-8.411992964042096
3,8,-7.391846781519281
3,9,-6.717084758381017
3,10,-5.981294081686612
3,11,-5.193921830453335
3,12,-5.1877742089779755
3,13,-5.382161761074745
3,14,-5.197509893637187
3,15,-5.463930278342393
3,16,-6.064611803199991
3,17,-6.0331651849928685
3,18,-5.681917663207804
3,19,-5.394366540785323
3,20,-4.64935966519214
3,21,-3.516152471062926
3,22,-2.588038377559455
3,23,-2.1021196956497827
3,24,-2.1310420428478096
3,25,-2.2074305273648984
3,26,-1.7166890827762957
3,27,-1.2693819248944178
3,28,-1.5350181936396687
3,29,-1.8139943733258184
3,30,-1.6949018993068503
3,31,-1.6569738460409213
3,32,-1.507700300426837
3,33,-0.9828917866986161
3,34,-0.831432071159173
3,35,-1.4091097589611854
3,36,-2.081731991151542
3,37,-2.4770018992849905
3,38,-2.6424224678183355
3,39,-2.643074100827849
3,40,-2.7758935615709435
3,41,-3.12693750977173
3,42,-3.160231566111115
3,43,-2.6149432228642104
3,44,-2.006258978536865
3,45,-1.7001273395665202
3,46,-1.3503697571542699
3,47,-0.6130875487928557
3,48,0.35024080010000225
3,49,1.3849152503168392
3,50,2.4305805506069578
4,0,-10.007083030970195
4,1,-11.791159218317615
4,2,-11.456747541576888
4,3,-10.797515659119671
4,4,-9.392444760029733
4,5,-8.230216203814253
4,6,-8.316458025455372
4,7,-8.202706038202269
4,8,-7.237815692354492
4,9,-6.3202638303819185
4,10,-5.349188453492898
4,11,-4.491650508788433
4,12,-4.751485383156672
4,13,-5.454342977190593
4,14,-5.485161657520997
4,15,-5.540924243279434
4,16,-6.010149042396555
4,17,-6.095918778533852
