z,x,y
0,0,1.2869867936439876
0,1,3.1327833758363886
0,2,2.3579788467403677
0,3,1.7078925794076472
0,4,0.787396258451716
0,5,-0.3558824409671155
0,6,-0.6074843231952358
0,7,-0.8287276788503057
0,8,-1.4709642945080712
0,9,-1.2925266271984208
0,10,-0.9010244651275874
0,11,-1.697391216667538
0,12,-2.6288959593514525
0,13,-2.7030417332450014
0,14,-2.855092831763252
0,15,-3.3566812900862657
0,16,-3.5813155782594146
0,17,-3.6797008894126866
0,18,-3.844419512095713
0,19,-3.8225256384605113
0,20,-3.6478766575337374
0,21,-3.4106977209951386
0,22,-3.219598910040417
0,23,-3.402461850997546
0,24,-3.794682051822461
0,25,-4.01484958976696
0,26,-4.330387723709762
0,27,-4.824323036980158
0,28,-4.866272529195412
0,29,-4.083337348295087
0,30,-2.698632095032927
0,31,-1.4383208036921193
0,32,-1.197113586880902
0,33,-1.6765527168152132
0,34,-1.7403111901554422
0,35,-1.5242592247980862
0,36,-1.649799402381813
0,37,-1.4666526838080332
0,38,-0.6981614239880264
0,39,-0.3856493654415192
0,40,-0.7788866332719007
0,41,-1.1216869443802029
0,42,-1.2209971670085253
0,43,-1.1477908552536493
0,44,-0.8446573833528334
0,45,-0.5936928514284329
0,46,-0.46605458451406917
0,47,-0.26618283307612667
0,48,-0.43336122080294
0,49,-1.3079657739539712
0,50,-2.2141975313491447
1,0,2.425818006319861
1,1,4.269240098244331
1,2,3.368693804093729
1,3,2.9077615141009563
1,4,1.750080236372086
1,5,-0.09120953081076323
1,6,-0.6386907609064484
1,7,-0.77310714467822
1,8,-1.5950871420651627
1,9,-1.862495403312895
1,10,-1.7734252792953908
1,11,-2.5427803905938644
1,12,-3.3110105239587084
1,13,-3.502687310281277
1,14,-4.049657105968389
1,15,-4.810677581628758
1,16,-5.116118700103461
1,17,-5.167544223329511
1,18,-4.886212418460941
1,19,-4.211943037620268
1,20,-3.7174637333060243
1,21,-3.4052764408001517
1,22,-3.2326096618413835
1,23,-3.759210744037458
1,24,-4.529748458746219
1,25,-4.779924305015951
1,26,-5.215208657725815
1,27,-6.022527198177981
1,28,-5.90826826475546
1,29,-4.5538865255494505
1,30,-2.76820397460944
1,31,-1.2297754848652467
1,32,-0.8179038618236543
1,33,-1.5551238637308513
1,34,-2.0288993031689126
1,35,-1.9614379844651293
1,36,-2.184439785426389
1,37,-2.1538648152332738
1,38,-1.444666542774344
1,39,-1.194307836582725
1,40,-1.4868457881710109
1,41,-1.298259215727729
1,42,-1.0305816979862235
1,43,-1.283662719312287
1,44,-1.322290718960389
1,45,-0.903384558778128
1,46,-0.6385608838136067
1,47,-0.5568083192824456
1,48,-0.6010134988942649
1,49,-1.1051377518020016
1,50,-1.8811770813312187
2,0,4.701487326903176
2,1,6.149040606015516
2,2,5.065161255869614
2,3,4.804817719601165
2,4,3.7256273735658967
2,5,1.6596552223765866
2,6,0.9006775975544831
2,7,0.6575015110738951
2,8,-0.4909236283979359
2,9,-1.3793174760252511
2,10,-1.6568410456229044
2,11,-2.1412865000701022
2,12,-2.4668712506557724
2,13,-2.6113735502149678
2,14,-3.2105352166506886
2,15,-3.7649505849111806
2,16,-3.867809203070997
2,17,-3.785818485589694
2,18,-3.046779661288775
2,19,-1.6830280672399784
2,20,-0.839401983079179
2,21,-0.6522663811022337
2,22,-0.8130033123103354
2,23,-1.7454950690357378
2,24,-2.877777386562207
2,25,-3.286733668596963
2,26,-3.702022022779514
2,27,-4.371915181674343
2,28,-4.074494930645488
2,29,-2.8171298320988303
2,30,-1.4753358280899245
2,31,-0.07781201680166276
