z,x,y
0,0,4.395200215846601
0,1,5.172940526280539
0,2,3.7691634726634433
0,3,3.975589724877924
0,4,5.2153276146626535
0,5,5.458161516159923
0,6,5.209217695259671
0,7,5.093151305742722
0,8,4.624498084750383
0,9,3.8307122263901383
0,10,3.265543280559769
0,11,3.329362413800527
0,12,4.0178594249900925
0,13,4.552563416496495
0,14,4.256820577512502
0,15,3.7037171242618907
0,16,3.6821367888968455
0,17,3.897074260945286
0,18,3.7303463234120247
0,19,3.331320164790713
0,20,3.237763496695831
0,21,3.4178145693485043
0,22,3.3926143799058623
0,23,3.2395256439135514
0,24,3.444208001805229
0,25,3.8003599406846984
0,26,3.806973454192447
0,27,3.709214002721202
0,28,3.7944765728130636
0,29,3.618515544149178
0,30,3.0063070713615865
1,0,4.768855368480144
1,1,5.636908862418631
1,2,4.1500324028322835
1,3,4.236874895883233
1,4,5.535354134591769
1,5,6.135200536557945
1,6,6.142641567732406
1,7,5.8481595162345315
1,8,5.117641605329469
1,9,4.252069321336601
1,10,3.5278746831652485
1,11,3.311947759887025
1,12,3.9693733549224954
1,13,4.753336725162004
1,14,4.708098561037606
1,15,4.300772509409225
1,16,4.247608739249911
1,17,4.113242391778303
1,18,3.462481379968688
1,19,2.9025286800486856
1,20,3.061566187981533
1,21,3.5369777271315517
1,22,3.667744592785917
1,23,3.69343943181903
1,24,4.047914317389768
1,25,4.267966679053558
1,26,3.9763536342845742
1,27,3.780548524558432
1,28,3.9871010668397417
1,29,3.938308049168312
1,30,3.379206063086237
2,0,3.6925014354890124
2,1,4.564209528695431
2,2,3.19309872158606
2,3,3.2601016177110367
2,4,4.403033362237078
2,5,4.969430777376142
2,6,5.004154524162278
2,7,4.6296778763134645
2,8,3.8366819209684473
2,9,3.017779371251181
2,10,2.28077216497182
2,11,1.8965117219003758
2,12,2.4226390075521547
2,13,3.323461917746083
2,14,3.510999694892344
2,15,3.1617291468751234
2,16,3.0097457503343614
2,17,2.7791672840128014
2,18,2.000243542022945
2,19,1.3390327213408786
