z,x,y
2,25,-2.985713850960543
2,26,-2.616497889991903
2,27,-2.6073538709780557
2,28,-2.761218901508075
2,29,-2.6839057319403694
2,30,-2.4353253485169293
2,31,-2.440544045111134
2,32,-2.653663701766554
2,33,-2.8991512792745726
2,34,-3.5250152998679964
2,35,-4.265098683194919
2,36,-3.9454800291473515
2,37,-2.583336964153421
2,38,-1.6834402971685076
2,39,-2.0156952920822615
2,40,-2.961894155555481
2,41,-3.534426348682208
2,42,-3.2243630372094296
2,43,-2.716079989513392
2,44,-3.0931778951045192
2,45,-3.985358268305009
2,46,-4.311085605236111
2,47,-4.119697747564896
2,48,-3.7794102137613055
2,49,-3.1503797646824023
2,50,-2.61377822871818
3,0,-2.194459909517445
3,1,-2.7079590657809276
3,2,-2.798547714990055
3,3,-2.1826051150272954
3,4,-2.232864186914277
3,5,-3.0039898643599234
3,6,-3.453602217788654
3,7,-3.3869951597512276
3,8,-3.258769797800151
3,9,-3.3766142484783055
3,10,-3.5638658982455946
3,11,-3.269520344350167
3,12,-2.5911269115549307
3,13,-2.3817571887349556
3,14,-2.885257785606545
3,15,-3.5402003765123244
3,16,-3.877415229091179
3,17,-3.6742790128119482
3,18,-3.076039171838649
3,19,-2.7369154800830517
3,20,-2.9807046365005787
3,21,-3.3739223461520425
3,22,-3.563172760369036
3,23,-3.632890495262662
3,24,-3.566386899834168
3,25,-3.197290923521488
3,26,-2.7240189261707872
3,27,-2.5934190390698593
3,28,-2.7385078065673354
3,29,-2.7197183160709475
3,30,-2.655206212888047
3,31,-2.8412272252572675
3,32,-2.9593804293490207
3,33,-3.0090661863604193
3,34,-3.562658107471454
3,35,-4.15322274026408
3,36,-3.708018618870106
3,37,-2.564700273599099
3,38,-1.8413900251120259
3,39,-1.9858696468893027
3,40,-2.9218433680628637
3,41,-3.8030233960067275
3,42,-3.5445075567583784
3,43,-2.8765908900465202
3,44,-3.243645736874316
3,45,-4.041509223545919
3,46,-4.176535914215622
3,47,-4.078851654156303
3,48,-3.9105610891847715
3,49,-3.2495898916759893
3,50,-2.7698104127219665
4,0,-2.4581602232613187
4,1,-3.0957335900880754
4,2,-3.172246583539801
4,3,-2.365495177226398
4,4,-2.3559607826067674
4,5,-3.2925643685101345
4,6,-3.742006835484265
4,7,-3.3804853209599606
4,8,-3.1537491339397254
4,9,-3.541104097797504
4,10,-3.855317121428157
4,11,-3.3956008583480046
4,12,-2.727711519038091
4,13,-2.7822249981965173
4,14,-3.400937963616007
4,15,-3.9605178050507166
4,16,-4.222912456972317
4,17,-4.006062467398595
4,18,-3.4201428326132435
4,19,-3.1305820968812124
4,20,-3.4088949740309284
4,21,-3.785010076779731
4,22,-3.903690679147839
4,23,-3.856258812189434
4,24,-3.7778010637963306
4,25,-3.592432771854817
4,26,-3.26270571704276
4,27,-3.106606877979518
4,28,-3.270116567289081
4,29,-3.3365453103536002
4,30,-3.234605776948219
4,31,-3.340289420747241
4,32,-3.446673412585121
4,33,-3.388845404886086
4,34,-3.7022840391006815
4,35,-4.134785149699941
4,36,-3.7071250642457807
4,37,-2.6848967798211727
4,38,-2.080022165349845
4,39,-2.252077007204931
4,40,-3.2012091558989333
4,41,-4.204064798981076
4,42,-4.059809892380303
4,43,-3.3482337399028426
4,44,-3.595456001206286
4,45,-4.313122618467744
4,46,-4.423761997990983
4,47,-4.344401084519298
4,48,-4.183541213406356
4,49,-3.51947489960604
4,50,-3.112872616767444
5,0,-1.6403864367781904
5,1,-2.0997172861958053
5,2,-2.096683739278176
5,3,-1.3550915092223434
5,4,-1.3666261702064064
5,5,-2.279193535604866
5,6,-2.725215785642369
5,7,-2.3916997184491153
5,8,-2.246865659542003
5,9,-2.6756369676081584
5,10,-2.8384138782771124
5,11,-2.183436384556401
5,12,-1.587419819545671
5,13,-1.8866435524530387
5,14,-2.547161488466776
5,15,-2.9612464125237294
5,16,-3.192719101272693
5,17,-3.0203787970823472
5,18,-2.3667728271044663
5,19,-2.016359668624495
5,20,-2.3077384277706683
5,21,-2.5903077685569014
5,22,-2.557768268657335
5,23,-2.501725029449377
5,24,-2.5061860343070355
5,25,-2.459664357495419
5,26,-2.3648286280352173
5,27,-2.324124916005045
5,28,-2.4171353970941967
5,29,-2.5408932566082267
5,30,-2.5846493765887923
5,31,-2.593245344988682
5,32,-2.5124593497479477
5,33,-2.4001363791999695
5,34,-2.6040487782193464
