localTriax,localLode,localPeeq,localDIL,localPEEQ > DIL,local-delPEEQ/DIL,local-DILaccu,local-DILaccu > 1,surfFac
0.03367427197337105,-0.1051343022024795,0.008817586127322084,0.098,0,0.0,0.0,0,1.2859669128991622
-0.023742876901278125,-0.001276141452174826,0.008817586127322084,0.104,0,0.0,0.0,0,1.2859669128991622
-0.01282744907695796,-0.17156753434758942,0.008817586127322084,0.111,0,0.0,0.0,0,1.2859669128991622
0.1312449810976404,-0.483813255239093,0.008817586127322084,0.145,0,0.0,0.0,0,1.2859669128991622
0.23749488403888686,-0.41316997883166606,0.008817586127322084,0.112,0,0.0,0.0,0,1.2859669128991622
0.24791304141216844,0.055239107454818276,0.008817586127322084,0.07,0,0.0,0.0,0,1.2859669128991622
0.23273163764341423,0.32822702223355393,0.008817586127322084,0.097,0,0.0,0.0,0,1.2862922114661048
0.20509080841957794,0.44017638642372725,0.009223556936566917,0.122,0,0.003267843949568644,0.003267843949568644,0,1.259284918767143
0.18894003119184308,0.4221230744342369,0.011092760990005595,0.121,0,0.015714956187825826,0.018982800137394472,0,1.1592686368342688
0.17126427738784433,0.3977630151873509,0.013075009724775023,0.118,0,0.01688725078402661,0.03587005092142108,0,1.1164798912594764
0.1452435999249645,0.3537383287136213,0.015564311772238376,0.114,0,0.021998181731354736,0.05786823265277581,0,1.0813729931825913
0.11995238097378098,0.3073782130487573,0.018314816815735286,0.109,0,0.024734050625975813,0.08260228327875163,0,1.0544720469606141
0.08966819830195098,0.24907289228680787,0.021643366881234697,0.105,0,0.03152502355204073,0.11412730683079236,0,1.0300073452883984
0.06201403875886747,0.19567732804565222,0.02524347395397896,0.102,0,0.03528599500636053,0.1494133018371529,0,1.0102503513487628
0.03810578905331061,0.150087416880649,0.029383187983618227,0.101,0,0.041588052588007234,0.19100135442516014,0,0.9929319776631085
0.025247686302316087,0.12607658315017253,0.03387149665937867,0.101,0,0.044575282990943724,0.23557663741610385,0,0.9789125650472403
-0.001389974800118104,0.07682769047497652,0.03909299929821214,0.102,0,0.05098963327348517,0.286566270689589,0,0.9657306069138767
-0.01897668648492809,0.044623563881892585,0.044451860407757206,0.103,0,0.052176790816708694,0.3387430615062977,0,0.9551072636958088
-0.024025860480135688,0.036294499271046506,0.050633590668439865,0.104,0,0.05861283285180293,0.3973558943581006,0,0.9456698142494492
-0.04741098527201608,-0.006253034639440242,0.057310206079205804,0.107,0,0.06239358780710432,0.4597494821652049,0,0.9367716740893546
-0.06804430561123884,-0.04303144950932642,0.0645813413484152,0.111,0,0.06556877932364358,0.5253182614888485,0,0.9291916909440309
-0.07298766400518901,-0.05017016225282743,0.07216672677286837,0.112,0,0.06763240545616596,0.5929506669450145,0,0.9226627263920728
-0.10200006185074365,-0.10151435652041362,0.0805335228526315,0.12,0,0.06922647264021485,0.6621771395852294,0,0.9158876329872366
-0.12818426607037406,-0.14878307722388004,0.08944115406552024,0.129,0,0.06921591974482846,0.7313930593300578,0,0.9097771459452543
-0.13206386301650544,-0.1539508663812627,0.09848563979531441,0.13,0,0.07008767004301514,0.801480729373073,0,0.9052371285249312
-0.16570386955845642,-0.21354349027344963,0.10840990429007732,0.144,0,0.06879868873794681,0.8702794181110198,0,0.9000265217228295
-0.17080285101027257,-0.22113216089572307,0.11830702389395512,0.146,0,0.06776798085762652,0.9380473989686463,0,0.8960593978928637
-0.19313948777021597,-0.25804108789980673,0.129288028492484,0.157,0,0.07005638607904387,1.0081037850476902,1,0.891957435183972
-0.19012722643685662,-0.24987870264471165,0.13993037717286938,0.155,0,0.06843000816819012,1.0765337932158803,1,0.8886125301594762
-0.20688764789880731,-0.27557721923402206,0.15155660932840304,0.163,0,0.07160816903010937,1.1481419622459896,1,0.8854606281699376
-0.18044100837063723,-0.2239537481790624,0.16263935801594762,0.149,1,0.07405516255722101,1.2221971248032106,1,0.8834916122206199
-0.17967666485695105,-0.21753851522352743,0.17426462748716043,0.147,1,0.0793802476296278,1.3015773724328383,1,0.8816021510237336
-0.1624608562689666,-0.17990032114093438,0.18575661820034647,0.139,1,0.08291585387085404,1.3844932263036924,1,0.8804138625505178
-0.11424897666518022,-0.08860132718011683,0.19704182515310684,0.121,1,0.09234694968209824,1.4768401759857908,1,0.8799215825197815
-0.0676525571159591,-0.0017823114061269925,0.2077679963305939,0.111,1,0.09757714385849396,1.5744173198442848,1,0.8803699725072134
-0.02586072444125555,0.07750291589223084,0.218572681033334,0.106,1,0.10208274700826668,1.6765000668525514,1,0.8810835786919877
0.018712566514712845,0.16157902238350513,0.22929807942967073,0.105,1,0.10195997720675866,1.7784600440593101,1,0.8820229201037506
0.06642684507521739,0.25131521238738974,0.23990402353364368,0.108,1,0.09775043326812362,1.8762104773274337,1,0.8831635755315659
0.1396726378179878,0.3871579722642502,0.2498211257679518,0.121,1,0.08176204531371115,1.9579725226411449,1,0.8848200535115143
0.1747798224384323,0.4553817090492988,0.26002407697744145,0.131,1,0.0780827399360298,2.036055262577175,1,0.8863657069717054
0.22132011891786113,0.5458450878637401,0.26997569203376764,0.146,1,0.06854506345897221,2.104600326036147,1,0.887997516755911
0.2542415216734113,0.6120583338484566,0.2803015334661617,0.159,1,0.06481420268755361,2.1694145287237006,1,0.8896060842574993
0.2893705815401283,0.6825061015278149,0.2900644693263742,0.174,1,0.056283925889971796,2.2256984546136724,1,0.8910762435791294
0.3264549496032996,0.7557124599221431,0.30007465772850567,0.191,1,0.05232907005285286,2.278027524666525,1,0.8925321722906475
0.3574626757001948,0.814723442954776,0.30980536341667175,0.205,1,0.04722983336320319,2.325257358029728,1,0.8937975468804591
0.3860221149346961,0.8552564740834686,0.31981721312500705,0.214,1,0.04674285927321335,2.3720002173029417,1,0.8948776885390672
0.40549099987515985,0.8756807370747307,0.3296119459839755,0.217,1,0.0451256123001378,2.4171258296030795,1,0.8957455248322128
0.42316555741191364,0.8835754676265878,0.33959082947220914,0.216,1,0.04626209817515024,2.46338792777823,1,0.8964961537355634
0.43429891055314807,0.8844606574560326,0.3494231825651124,0.214,1,0.04578871726427381,2.5091766450425035,1,0.8970698868763165
0.44220556174540265,0.8828146448997922,0.3594202350738436,0.212,1,0.047236957136889364,2.556413602179393,1,0.8974925971317267
0.4477718787155442,0.8819946687696765,0.3692591827969219,0.21,1,0.04709886572683991,2.603512467906233,1,0.8977989096048954
0.45127399863950235,0.881066831591746,0.3792210796544718,0.209,1,0.04734396516188416,2.6508564330681175,1,0.8980276600452706
0.4513560795806469,0.8816792644245495,0.38903297865113545,0.209,1,0.046820405507653096,2.6976768385757706,1,0.8981897026838038
0.4498342526512847,0.8837687374153396,0.3989085423391919,0.21,1,0.04705524826318137,2.744732086838952,1,0.8983076247271865
0.4475398169368854,0.8867664846459787,0.4086252693520036,0.212,1,0.04576056538460459,2.7904926522235565,1,0.898379315654711
0.4435318080010629,0.8902283467775242,0.4183432633100554,0.214,1,0.04530400611049427,2.8357966583340506,1,0.8984268661841669
0.43982559933657833,0.8943125888892787,0.4279074634230413,0.216,1,0.04435714485645128,2.880153803190502,1,0.8984303204224057
0.43495500063859455,0.8978366194811838,0.43742005630981085,0.219,1,0.0434159729250348,2.923569776115537,1,0.8984044012130186
